iter	Passed	Remaining
761	5556	1735
762	5563	1728
763	5570	1720
764	5577	1713
765	5584	1706
766	5591	1698
767	5603	1692
768	5609	1685
769	5617	1677
770	5623	1670
771	5631	1663
772	5638	1655
773	5645	1648
774	5652	1640
775	5658	1633
776	5666	1626
777	5674	1619
778	5682	1612
779	5689	1604
780	5698	1598
781	5712	1592
782	5748	1593
783	5757	1586
784	5767	1579
785	5777	1573
786	5786	1566
787	5796	1559
788	5805	1552
789	5814	1545
790	5821	1538
791	5831	1531
792	5843	1525
793	5859	1520
794	5869	1513
795	5881	1507
796	5888	1499
797	5898	1493
798	5908	1486
799	5916	1479
800	5925	1472
801	5936	1465
802	5952	1460
803	5963	1453
804	5976	1447
805	5983	1440
806	5992	1433
807	6001	1426
808	6073	1433
809	6082	1426
810	6093	1420
811	6106	1413
812	6115	1406
813	6123	1399
814	6130	1391
815	6138	1384
816	6146	1376
817	6155	1369
818	6163	1362
819	6171	1354
820	6179	1347
821	6187	1339
822	6195	1332
823	6202	1324
824	6210	1317
825	6216	1309
826	6224	1302
827	6230	1294
828	6238	1286
829	6244	1278
830	6251	1271
831	6258	1263
832	6265	1256
833	6273	1248
834	6280	1241
835	6288	1233
836	6295	1225
837	6303	1218
838	6310	1210
839	6318	1203
840	6325	1195
841	6333	1188
842	6342	1181
843	6350	1173
844	6358	1166
845	6365	1158
846	6373	1151
847	6382	1143
848	6389	1136
849	6396	1128
850	6405	1121
851	6412	1113
852	6421	1106
853	6428	1098
854	6437	1091
855	6451	1085
856	6460	1078
857	6470	1070
858	6478	1063
859	6489	1056
860	6499	1049
861	6507	1041
862	6515	1034
863	6523	1026
864	6532	1019
865	6538	1011
866	6546	1004
867	6553	996
868	6564	989
869	6571	981
870	6580	974
871	6589	967
872	6598	959
873	6605	952
874	6613	944
875	6620	937
876	6628	929
877	6635	922
878	6642	914
879	6651	907
880	6658	899
881	6723	899
882	6746	893
883	6754	886
884	6766	879
885	6773	871
886	6783	864
887	6790	856
888	6799	848
889	6805	841
890	6814	833
891	6820	825
892	6828	818
893	6835	810
894	6843	802
895	6851	795
896	6859	787
897	6865	779
898	6872	772
899	6880	764
900	6886	756
901	6894	749
902	6901	741
903	6909	733
904	6915	725
905	6923	718
906	6931	710
907	6938	702
908	6946	695
909	6953	687
910	6961	680
911	6968	672
912	6976	664
913	6982	657
